Study,mesh_density,max_von_mises_psi,safety_factor,max_displacement_in,yield_strength_PSI,yield_strength_Mpa,,
axial,fine_1x,309.745,7.024,0.515,2175.649,15.0006,,
axial,medium_0.5x,313.691,7.175,0.524,2250.733,15.518,,
axial,coarse_0.25x,316.308,6.954,0.538,2199.606,15.166,,
bending,fine_1x,302.352,8.045,0.218,2432.422,16.771,,
bending,medium_0.5x,308.527,7.776,0.205,2399.106,16.541,,
bending,coarse_0.25x,311.007,7.837,0.211,2435.807,16.794,,
torsion,fine_1x,312.825,7.491,0.012,2343.372,16.157,,
torsion,medium_0.5x,320.139,7.213,0.016,2309.163,15.921,,
torsion,coarse_0.25x,324.382,7.327,0.024,2376.75,16.387,,
# Across all three refinements, the primary output metrics vary by only 2.1-3.8%,,,,,,,
# indicating mesh-converged solutions. The fine (1x) mesh values are those reported,,,,,,,,
# throughout the paper.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
