comparison,metric,test,statistic,value,df1,df2,p_raw,p_adj,effect_type,effect_value,ci95_low,ci95_high
novel_IM_vs_titanium,cell_count,ANOVA_Group,"F(1,8)",55.57,1,8,7.24e-05,,partial_eta_sq,0.874,,
novel_IM_vs_titanium,cell_count,ANOVA_Time,"F(4,32)",248.86,4,32,1.29e-23,,partial_eta_sq,0.969,,
novel_IM_vs_titanium,cell_count,ANOVA_GroupxTime,"F(4,32)",57.49,4,32,3.70e-14,,partial_eta_sq,0.878,,
novel_IM_vs_titanium,cell_count,Welch_t_week1,t,5.63,,,0.001067,0.005337,cohens_d,3.56,20031.9,49968.1
novel_IM_vs_titanium,cell_count,Welch_t_week2,t,5.55,,,0.001098,0.00549,cohens_d,3.51,35744.4,90255.6
novel_IM_vs_titanium,cell_count,Welch_t_week3,t,8.5,,,0.0003342,0.001671,cohens_d,5.37,227303.7,422696.3
novel_IM_vs_titanium,cell_count,Welch_t_week4,t,7.29,,,0.0004395,0.002198,cohens_d,4.61,356201.2,723798.8
petri_control_vs_titanium,cell_count,ANOVA_Group,"F(1,8)",51.38,1,8,9.54e-05,,partial_eta_sq,0.865,,
petri_control_vs_titanium,cell_count,ANOVA_Time,"F(4,32)",228.51,4,32,4.83e-23,,partial_eta_sq,0.966,,
petri_control_vs_titanium,cell_count,ANOVA_GroupxTime,"F(4,32)",53.55,4,32,9.89e-14,,partial_eta_sq,0.87,,
petri_control_vs_titanium,cell_count,Welch_t_week1,t,4.97,,,0.001811,0.009053,cohens_d,3.14,15085.8,42914.2
petri_control_vs_titanium,cell_count,Welch_t_week2,t,5.28,,,0.001434,0.007168,cohens_d,3.34,32744.4,87255.6
petri_control_vs_titanium,cell_count,Welch_t_week3,t,8.23,,,0.0003897,0.001949,cohens_d,5.21,217250.5,412749.5
petri_control_vs_titanium,cell_count,Welch_t_week4,t,7.04,,,0.0006085,0.003042,cohens_d,4.45,354377.3,745622.7
novel_IM_vs_petri_control,cell_count,ANOVA_Group,"F(1,8)",0,1,8,9.59e-01,,partial_eta_sq,0,,
novel_IM_vs_petri_control,cell_count,ANOVA_Time,"F(4,32)",310.51,4,32,4.16e-25,,partial_eta_sq,0.975,,
